1 肖申克的救赎 9.6 614625人评价  希望让人自由。
2 这个杀手不太冷 9.4 584716人评价  怪蜀黍和小萝莉不得不说的故事。
3 阿甘正传 9.4 517293人评价  一部美国近现代史。
4 霸王别姬 9.4 420053人评价  风华绝代。
5 美丽人生 9.4 284021人评价  最美的谎言。
6 海上钢琴师 9.2 453432人评价  每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
7 辛德勒的名单 9.4 271604人评价  拯救一个人，就是拯救整个世界。
8 千与千寻 9.2 466636人评价  最好的宫崎骏，最好的久石让。 
9 机器人总动员 9.3 377365人评价  小瓦力，大人生。
10 泰坦尼克号 9.1 479726人评价  失去的才是永恒的。 
11 盗梦空间 9.2 577106人评价  诺兰给了我们一场无法盗取的梦。
12 三傻大闹宝莱坞 9.1 490871人评价  英俊版憨豆，高情商版谢耳朵。
13 放牛班的春天 9.2 331866人评价  天籁一般的童声，是最接近上帝的存在。 
14 忠犬八公的故事 9.2 304888人评价  永远都不能忘记你所爱的人。
15 龙猫 9.1 306699人评价  人人心中都有个龙猫，童年就永远不会消失。
16 教父 9.2 245460人评价  千万不要记恨你的对手，这样会让你失去理智。
17 大话西游之大圣娶亲 9.1 318320人评价  一生所爱。
18 乱世佳人 9.2 205605人评价  Tomorrow is another day.
19 天堂电影院 9.1 233517人评价  那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
20 搏击俱乐部 9.0 314514人评价  邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
21 当幸福来敲门 8.9 405129人评价  平民励志片。 
22 楚门的世界 8.9 305223人评价  如果再也不能见到你，祝你早安，午安，晚安。
23 指环王3：王者无敌 9.1 214319人评价  史诗的终章。
24 罗马假日 8.9 290176人评价  爱情哪怕只有一天。
25 海豚湾 9.3 147117人评价  海豚的微笑，是世界上最高明的伪装。
26 两杆大烟枪 9.0 205738人评价  4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
27 触不可及 9.1 251818人评价  满满温情的高雅喜剧。
28 十二怒汉 9.3 110287人评价  1957年的理想主义。 
29 天空之城 9.0 240444人评价  对天空的追逐，永不停止。 
30 鬼子来了 9.1 159566人评价  对敌人的仁慈，就是对自己残忍。
31 飞越疯人院 9.0 205804人评价  自由万岁。
32 飞屋环游记 8.9 383197人评价  最后那些最无聊的事情，才是最值得怀念的。 
33 大话西游之月光宝盒 8.9 276369人评价  旷古烁今。
34 怦然心动 8.9 366913人评价  真正的幸福是来自内心深处。
35 窃听风暴 9.1 149678人评价  别样人生。
36 天使爱美丽 8.8 377593人评价  法式小清新。 
37 V字仇杀队 8.8 291874人评价  一张面具背后的理想与革命。
38 无间道 8.9 274793人评价  香港电影史上永不过时的杰作。
39 闻香识女人 8.9 234401人评价  史上最美的探戈。
40 蝙蝠侠：黑暗骑士 8.9 219123人评价  无尽的黑暗。
41 指环王2：双塔奇兵 8.9 205412人评价  承前启后的史诗篇章。
42 指环王1：魔戒再现 8.9 228424人评价  传说的开始。
43 熔炉 9.1 134280人评价  我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
44 美丽心灵 8.9 223409人评价  爱是一切逻辑和原由。
45 活着 9.0 177003人评价  张艺谋最好的电影。
46 教父2 9.1 131268人评价  优雅的孤独。
47 剪刀手爱德华 8.7 377333人评价  浪漫忧郁的成人童话。
48 七宗罪 8.7 336748人评价  警察抓小偷，老鼠玩死猫。
49 少年派的奇幻漂流 9.0 440595人评价  瑰丽壮观、无人能及的冒险之旅。
50 情书 8.8 267981人评价  暗恋的极致。
51 勇敢的心 8.8 234436人评价  史诗大片的典范。
52 哈尔的移动城堡 8.8 250600人评价  带着心爱的人在天空飞翔。
53 死亡诗社 8.9 192680人评价  当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
54 美国往事 9.1 122399人评价  往事如烟，无处祭奠。
55 钢琴家 9.0 148096人评价  音乐能化解仇恨。
56 音乐之声 8.9 178818人评价  用音乐化解仇恨，让歌声串起美好。
57 致命魔术 8.8 245197人评价  孪生蝙蝠侠大战克隆金刚狼。
58 狮子王 8.8 209896人评价  动物版《哈姆雷特》。
59 被嫌弃的松子的一生 8.9 173392人评价  以戏谑来戏谑戏谑。
60 小鞋子 9.1 95454人评价  奔跑的孩子是天使。
61 玛丽和马克思 8.9 187364人评价  你是我最好的朋友，你是我唯一的朋友 。
62 低俗小说 8.7 236414人评价  故事的高级讲法。
63 入殓师 8.8 251079人评价  死可能是一道门，逝去并不是终结，而是超越，走向下一程。
64 蝴蝶效应 8.6 286548人评价  人的命运被自己瞬间的抉择改变。
65 沉默的羔羊 8.7 256630人评价  安东尼·霍普金斯的顶级表演。
66 本杰明·巴顿奇事 8.7 298472人评价  在时间之河里感受溺水之苦。
67 大鱼 8.7 182484人评价  抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
68 射雕英雄传之东成西就 8.7 201058人评价  百看不厌。 
69 黑客帝国 8.7 199554人评价  视觉革命。
70 阳光灿烂的日子 8.7 197100人评价  一场华丽的意淫。
71 幽灵公主 8.7 172105人评价  人与自然的战争史诗。
72 拯救大兵瑞恩 8.8 163839人评价  美利坚精神输出大片No1.
73 第六感 8.8 167271人评价  深入内心的恐怖，出人意料的结局。
74 让子弹飞 8.7 492770人评价  你给我翻译翻译，神马叫做TMD的惊喜。
75 上帝之城 8.9 116789人评价  被上帝抛弃了的上帝之城。
76 阳光姐妹淘 8.8 185118人评价  再多各自牛逼的时光，也比不上一起傻逼的岁月。 
77 饮食男女 8.9 110225人评价  人生不能像做菜，把所有的料都准备好了才下锅。
78 心灵捕手 8.7 186159人评价  人生中应该拥有这样的一段豁然开朗。
79 萤火虫之墓 8.8 154300人评价  幸福是生生不息，却难以触及的远。 
80 西西里的美丽传说 8.6 233460人评价  美丽无罪。
81 大闹天宫 9.2 63533人评价  经典之作，历久弥新。
82 一一 8.9 109645人评价  我们都曾经是一一。
83 甜蜜蜜 8.7 171997人评价  逢只要一瞬间，等待却像是一辈子。
84 重庆森林 8.6 220249人评价  寂寞没有期限。
85 海洋 9.0 81891人评价  大海啊，不全是水。
86 春光乍泄 8.7 164184人评价  爱情纠缠，男女一致。
87 爱在黎明破晓前 8.7 153195人评价  缘分是个连绵词，最美不过一瞬。
88 爱在日落黄昏时 8.7 144040人评价  九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
89 风之谷 8.8 129344人评价  动画片的圣经。
90 燃情岁月 8.8 118098人评价  传奇，不是每个人都可以拥有。
91 加勒比海盗 8.5 246730人评价  约翰尼·德普的独角戏。
92 告白 8.6 241847人评价  没有一人完全善，也没有一人完全恶。
93 驯龙高手 8.7 206206人评价  和谐的生活离不开摸头与被摸头。
94 虎口脱险 8.9 82527人评价  永远看不腻的喜剧。
95 阿凡达 8.6 413944人评价  绝对意义上的美轮美奂。
96 侧耳倾听 8.8 117620人评价  少女情怀总是诗。
97 致命ID 8.5 216403人评价  最不可能的那个人永远是最可能的。
98 真爱至上 8.5 237446人评价  爱，是个动词。
99 菊次郎的夏天 8.7 123701人评价  从没见过那么流氓的温柔，从没见过那么温柔的流氓。
100 超脱 8.7 113823人评价  穷尽一生，我们要学会的，不过是彼此拥抱。
101 禁闭岛 8.5 248713人评价  昔日翩翩少年，今日大腹便便。
102 电锯惊魂 8.6 149889人评价  真相就在眼前。
